bin_id,marker_lineage,ml_uid,completeness,contamination,strain_het,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
CarAnox_mtb2-888,k__Bacteria,(UID2569),99.46,0.63,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12481;g__;s__,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,97.7,11.0,0.839632630522,
CarAnox_mtb2-315,c__Gammaproteobacteria,(UID4274),99.2,1.38,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__,,,,,,GCA_001901525.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp001901525,83.25,0.79,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__;s__,Placement,taxonomic novelty determined using RED,,98.23,11.0,0.967050341592,
CarAnox_mtb2-1507,o__Burkholderiales,(UID4002),99.15,1.2,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans,GCF_000987075.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans,99.97,0.99,GCF_000987075.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans,99.97,0.99,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000012945.1, s__Burkholderia lata, 95.0, 94.57, 0.79; GCF_002099195.1, s__Burkholderia puraquae, 95.0, 93.99, 0.8; GCF_000724975.1, s__Burkholderia cepacia_E, 95.0, 93.74, 0.76; GCF_001411495.1, s__Burkholderia cepacia, 95.0, 93.3, 0.8; GCF_001718555.1, s__Burkholderia metallica, 95.0, 93.14, 0.82; GCF_001028665.1, s__Burkholderia pyrrocinia, 95.0, 92.33, 0.77; GCA_001883705.1, s__Burkholderia catarinensis, 95.0, 92.25, 0.78; GCF_001718835.1, s__Burkholderia cepacia_F, 95.0, 92.23, 0.68; GCF_000701165.1, s__Burkholderia cepacia_A, 95.0, 92.19, 0.78; GCF_001039005.1, s__Burkholderia cepacia_C, 95.0, 92.13, 0.77; GCF_001718535.1, s__Burkholderia seminalis, 95.0, 92.0, 0.83; GCF_000009485.1, s__Burkholderia cenocepacia, 95.0, 91.98, 0.76; GCF_002223185.1, s__Burkholderia sp002223185, 95.0, 91.98, 0.77; GCF_001742165.1, s__Burkholderia stabilis, 95.0, 91.97, 0.76; GCF_001522585.2, s__Burkholderia sp001522585, 95.0, 91.86, 0.83; GCF_001547525.1, s__Burkholderia anthina, 95.0, 91.81, 0.81; GCF_000732615.1, s__Burkholderia paludis, 95.0, 91.74, 0.72; GCA_000498115.1, s__Burkholderia cenocepacia_B, 95.0, 91.58, 0.82; GCF_000292915.1, s__Burkholderia cepacia_D, 95.0, 91.2, 0.79; GCF_000949135.1, s__Burkholderia sp000949135, 95.0, 90.92, 0.76; GCF_001443045.1, s__Burkholderia ambifaria_A, 95.0, 90.84, 0.69; GCF_001524645.2, s__Burkholderia sp001524645, 95.0, 90.65, 0.77; GCF_000203915.1, s__Burkholderia ambifaria, 95.0, 90.57, 0.76; GCF_001718335.1, s__Burkholderia territorii, 95.31, 90.36, 0.8; GCF_002563755.1, s__Burkholderia sp002563755, 95.0, 90.33, 0.71; GCF_001718315.1, s__Burkholderia diffusa, 95.31, 90.26, 0.81; GCF_001532035.1, s__Burkholderia pseudomultivorans, 95.0, 90.16, 0.72; GCF_001718795.1, s__Burkholderia latens, 95.0, 89.37, 0.8; GCF_000959505.1, s__Burkholderia dolosa, 95.0, 89.22, 0.77; GCF_000959445.1, s__Burkholderia vietnamiensis, 95.0, 89.1, 0.73; GCF_000959525.1, s__Burkholderia multivorans, 95.0, 88.88, 0.78; GCF_000959245.1, s__Burkholderia ubonensis, 95.0, 88.64, 0.71; GCF_001718955.1, s__Burkholderia stagnalis, 95.0, 88.6, 0.7; GCF_002097715.1, s__Burkholderia mesoacidophila, 95.0, 88.45, 0.67; GCF_000687455.2, s__Burkholderia sp000687455, 95.0, 86.62, 0.68; GCF_001462435.1, s__Burkholderia humptydooensis, 95.0, 84.87, 0.63; GCF_000012365.1, s__Burkholderia thailandensis, 95.0, 84.74, 0.61; GCF_001524625.2, s__Burkholderia sp001524625, 95.0, 84.65, 0.61; GCF_000959365.1, s__Burkholderia oklahomensis, 95.0, 84.65, 0.61; GCF_000011705.1, s__Burkholderia mallei, 95.0, 84.45, 0.67; GCF_001411805.1, s__Burkholderia plantarii, 95.0, 83.23, 0.52; GCF_000960995.1, s__Burkholderia glumae, 95.0, 82.99, 0.56; GCF_900176645.1, s__Burkholderia singularis, 95.0, 82.78, 0.63; GCF_001522865.1, s__Burkholderia sp001522865, 95.0, 82.62, 0.61; GCF_000959725.1, s__Burkholderia gladioli, 95.0, 82.37, 0.53",98.0,11.0,,
CarAnox_mtb2-1194,o__Rhodospirillales,(UID3754),99.0,0.5,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__UBA7887;s__,,,,,,GCA_002501105.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__UBA7887;s__UBA7887 sp002501105,81.11,0.79,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__;s__,Placement,taxonomic novelty determined using RED,,97.98,11.0,0.924657392968,
CarAnox_mtb2-43,k__Bacteria,(UID2569),98.92,1.08,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12481;g__;s__,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,96.05,11.0,0.7947959348370001,
CarAnox_mtb2-699,f__Bacillaceae,(UID829),98.91,4.27,0.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_Y;s__,,,,,,,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_Y;s__,Placement,taxonomic classification fully defined by topology,"GCF_000813125.1, s__Bacillus_Y selenatarsenatis, 95.0, 87.31, 0.75; GCF_000517385.1, s__Bacillus_Y boroniphilus, 95.0, 87.06, 0.79; GCF_002874535.1, s__Bacillus_Y jeotgali, 95.0, 86.99, 0.75; GCF_900166585.1, s__Bacillus_Y jeotgali_A, 95.0, 82.44, 0.62; GCF_000934845.1, s__Bacillus_Y subterraneus, 95.0, 80.88, 0.54; GCA_003457145.1, s__Bacillus_Y sp003457145, 95.0, 79.96, 0.48",99.11,11.0,0.971435203697,
CarAnox_mtb2-983,f__Burkholderiaceae,(UID4003),98.9,0.05,100.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii,GCF_000743455.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii,97.69,0.94,GCF_000743455.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii,97.69,0.94,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000020205.1, s__Ralstonia pickettii_B, 95.0, 93.98, 0.86; GCF_000620465.1, s__Ralstonia sp000620465, 95.0, 93.0, 0.87; GCF_900115545.1, s__Ralstonia sp900115545, 95.0, 91.62, 0.86; GCF_000607165.1, s__Ralstonia pickettii_A, 95.0, 91.44, 0.88; GCF_000955795.1, s__Ralstonia sp000955795, 95.0, 91.21, 0.87; GCF_000954135.1, s__Ralstonia mannitolilytica, 95.0, 87.78, 0.78; GCF_001078575.1, s__Ralstonia sp001078575, 95.0, 87.13, 0.82; GCF_000801955.1, s__Ralstonia sp000801955, 95.0, 87.06, 0.79; GCF_001653935.1, s__Ralstonia insidiosa, 95.0, 86.94, 0.8; GCA_002298975.1, s__Ralstonia sp002298975, 95.0, 86.56, 0.76; GCA_000285815.1, s__Ralstonia solanacearum, 95.0, 85.14, 0.68; GCF_003256445.1, s__Ralstonia pseudosolanacearum, 95.0, 84.78, 0.66; GCF_001586135.1, s__Ralstonia solanacearum_A, 95.0, 84.66, 0.7",90.85,11.0,,
CarAnox_mtb2-756,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.79,11.0,0.516575780609,
CarAnox_mtb2-728,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA8229;g__;s__,,,,,,,,,,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA8229;g__;s__,Placement,taxonomic novelty determined using RED,,93.79,11.0,0.774664739646,
CarAnox_mtb2-651,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__AABM5-125-24;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,96.65,11.0,0.39537345437700006,
CarAnox_mtb2-539,k__Bacteria,(UID2495),98.9,3.3,0.0,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,96.71,11.0,0.47227901183399995,
CarAnox_mtb2-529,k__Bacteria,(UID2495),98.9,1.65,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,92.78,11.0,0.747704903413,
CarAnox_mtb2-464,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__Delongbacteria;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.69,11.0,0.39056735486999994,
CarAnox_mtb2-453,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.5,11.0,0.730433723279,
CarAnox_mtb2-1578,k__Bacteria,(UID2495),98.9,0.06,0.0,d__Bacteria;p__;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic classification fully defined by topology,,93.83,11.0,0.38311728029,
CarAnox_mtb2-1432,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,96.15,11.0,0.73266473735,
CarAnox_mtb2-1270,k__Bacteria,(UID2495),98.9,0.0,0.0,d__Bacteria;p__;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic classification fully defined by topology,,90.1,11.0,0.35416592234800004,
CarAnox_mtb2-1053,k__Bacteria,(UID2495),98.9,4.4,0.0,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,96.15,11.0,0.469773639423,
CarAnox_mtb2-1510,k__Bacteria,(UID2570),98.87,3.95,0.0,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__MEBICO9517;g__;s__,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,97.74,11.0,0.7593641274740001,
CarAnox_mtb2-28,k__Bacteria,(UID2565),98.86,4.55,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__;s__,Placement,taxonomic classification fully defined by topology,,90.16,11.0,0.866555428733,
CarAnox_mtb2-110,k__Bacteria,(UID2565),98.86,1.14,100.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,,,,,,GCA_003485185.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__UBA12270;s__UBA12270 sp003485185,77.18,0.22,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,Placement,taxonomic novelty determined using RED,,89.6,11.0,0.835431304252,
CarAnox_mtb2-955,k__Bacteria,(UID2495),98.84,4.4,0.0,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__,,,,,,,,,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__,Placement,taxonomic classification fully defined by topology,,95.5,11.0,0.7584333962279999,
CarAnox_mtb2-1521,k__Bacteria,(UID2495),98.84,2.75,0.0,d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__TCS61;g__;s__,,,,,,,,,,d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__TCS61;g__;s__,Placement,taxonomic novelty determined using RED,,95.91,11.0,0.7702342710060001,
CarAnox_mtb2-1199,k__Bacteria,(UID2495),98.84,0.0,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.18,11.0,0.7112157051870001,
CarAnox_mtb2-688,c__Deltaproteobacteria,(UID3217),98.81,0.0,0.0,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__CG2-30-60-27;s__,,,,,,,,,,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__;s__,Placement,taxonomic novelty determined using RED,,95.85,11.0,0.864395376926,
CarAnox_mtb2-245,k__Bacteria,(UID2565),98.8,1.14,0.0,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__,,,,,,GCA_001303885.1,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__SM23-32;s__SM23-32 sp001303885,77.13,0.16,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,88.59,11.0,0.775901762168,
CarAnox_mtb2-1083,k__Bacteria,(UID3060),98.78,0.81,50.0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__,,,,,,,,,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__,Placement,taxonomic classification fully defined by topology,,93.43,11.0,0.8246316653669999,
CarAnox_mtb2-216,k__Bacteria,(UID2565),98.76,3.23,0.0,d__Bacteria;p__Poribacteria;c__WGA-4E;o__GCA-2687025;f__GCA-2687025;g__GCA-2687025;s__,,,,,,GCA_002687025.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__GCA-2687025;f__GCA-2687025;g__GCA-2687025;s__GCA-2687025 sp002687025,79.02,0.52,d__Bacteria;p__Poribacteria;c__WGA-4E;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.27,11.0,0.9191819571100001,
